text,index,translated
It's always darkest before dawn.,56,Рим не был построен за один день.
"Jack of all trades, master of none.",57,Разнообразие — это специя жизни.
Keep your friends close and your enemies closer.,58,"Время летит, когда тебе весело."
Kill two birds with one stone.,59,Бездельные руки - мастерская дьявола.
Less is more.,60,Красота в глазах смотрящего.
Let sleeping dogs lie.,61,"Работайте умнее, а не тяжелее."
Life is what happens when you're busy making other plans.,62,Любопытство убило кошку.
Love conquers all.,63,Несчастье любит компанию.
Make hay while the sun shines.,64,"Позаботьтесь о пенни, и фунты позаботятся о себе."
Many hands make light work.,65,Смех – лучшее лекарство.
Misery loves company.,66,Две головы лучше одной.
Never put off till tomorrow what you can do today.,67,Невежество — это блаженство.
"Nothing ventured, nothing gained.",68,"Нет такого места, как дом."
"Out of sight, out of mind.",69,"Возможность стучит, но один раз."
People who live in glass houses should not throw stones.,70,Дискреция — лучшая часть доблести.
Practice makes perfect.,71,"Никогда не откладывайте на завтра то, что вы можете сделать сегодня."
Proceed cautiously.,72,Деньги не растут на деревьях.
Quality over quantity.,73,Разнообразие — это специя жизни.
Rome wasn't built in a day.,74,Хорошо начатое наполовину сделано.
Seeing is believing.,75,"Когда вы в Риме, делайте то же, что и римляне."
Silence is golden.,76,До рассвета всегда темнее.
Still waters run deep.,77,Не кладите все яйца в одну корзину.
Strike while the iron is hot.,78,Ты не можешь съесть торт и съесть его тоже.
Take care of the pennies and the pounds will take care of themselves.,79,Ранняя птица ловит червя.
Talk is cheap.,80,"Ничего не рискнул, ничего не выиграл."
The apple doesn't fall far from the tree.,81,Говорить дешево.
The early bird catches the worm.,82,"Посмотри, прежде чем прыгать."
The grass is always greener on the other side.,83,"Отходы нет, не хочу."
The pen is mightier than the sword.,84,"Джек всех профессий, мастер ни одной."
There’s no place like home.,85,Время лечит все раны.
Time heals all wounds.,86,Терпение – это добродетель.
Too many cooks spoil the broth.,87,"Полегче, полегче."
Truth is stranger than fiction.,88,"С глаз долой, с ума."
"United we stand, divided we fall.",89,"Там, где есть завещание, есть способ."
Variety is the spice of life.,90,"То, что сделано, нельзя отменить."
Well begun is half done.,91,"То, что происходит вокруг, происходит вокруг."
What's done cannot be undone.,92,Держите своих друзей и врагов ближе.
"When in doubt, leave it out.",93,Видеть — значит верить.
"Where there’s smoke, there’s fire.",94,Каждое облако имеет серебряную подкладку.
With age comes wisdom.,95,"Ты поцарапаешь мне спину, я поцарапаю твою."
"Work smarter, not harder.",96,Чистота рядом с благочестием.
You can't have your cake and eat it too.,97,Пустые сосуды создают наибольший шум.
"You scratch my back, I'll scratch yours.",98,"Когда движение становится жестким, жесткое идет."
Your guess is as good as mine.,99,Путешествие в тысячу миль начинается с одного шага.
Zero tolerance means zero mercy.,100,"Люди, живущие в стеклянных домах, не должны бросать камни."
